generic_name,ingredient
amlodipine,amlodipine
amoxicillin,amoxicillin
amoxicillin,clavulanic acid
aspirin,aspirin
asv,asv
atenolol,atenolol
atorvastatin,atorvastatin
atropine,atropine
azithromycin,azithromycin
budesonide,budesonide
budesonide,formoterol
calcium,calcium
calcium,vit d3
cefotaxime,cefotaxime
ceftriaxone,ceftriaxone
cetirizine,cetirizine
ciprofloxacin,ciprofloxacin
clonazepam,clonazepam
clotrimazole,clotrimazole % cream
diclofenac,diclofenac
domperidone,domperidone
doxycycline,doxycycline
escitalopram,escitalopram
etoricoxib,etoricoxib
folic,folic acid
glimepiride,glimepiride
glucosamine,glucosamine
hydrocortisone,hydrocortisone
ibuprofen,ibuprofen
insulin,human insulin
iron,ferrous ascorbate
iron,folic acid
latanoprost,latanoprost eye drops
levocetirizine,levocetirizine
losartan,losartan
metformin,metformin
metronidazole,metronidazole
montelukast,montelukast
ofloxacin,ofloxacin eye/ear drops
ondansetron,ondansetron
ors,ors
pam,pralidoxime
pantoprazole,pantoprazole
paracetamol,paracetamol
permethrin,permethrin % lotion
pheniramine,pheniramine
prednisolone,prednisolone
ranitidine,ranitidine
salbutamol,ipratropium
salbutamol,levosalbutamol
sertraline,sertraline
silver,silver sulfadiazine cream
telmisartan,telmisartan
tetanus,tetanus toxoid
thiamine,thiamine
timolol,timolol % eye drops
tramadol,tramadol
vitamin,vitamin b complex
