state_code,state_name,scheme_name,generic_name,coverage
TN,Tamil Nadu,TNMSC Free Drug Supply,paracetamol,free
TN,Tamil Nadu,TNMSC Free Drug Supply,amoxicillin,free
TN,Tamil Nadu,TNMSC Free Drug Supply,amoxicillin_clav,free
TN,Tamil Nadu,TNMSC Free Drug Supply,azithromycin,free
TN,Tamil Nadu,TNMSC Free Drug Supply,ciprofloxacin,free
TN,Tamil Nadu,TNMSC Free Drug Supply,metronidazole,free
TN,Tamil Nadu,TNMSC Free Drug Supply,cefixime,free
TN,Tamil Nadu,TNMSC Free Drug Supply,ceftriaxone,free
TN,Tamil Nadu,TNMSC Free Drug Supply,doxycycline,free
TN,Tamil Nadu,TNMSC Free Drug Supply,amlodipine,free
TN,Tamil Nadu,TNMSC Free Drug Supply,atenolol,free
TN,Tamil Nadu,TNMSC Free Drug Supply,losartan,free
TN,Tamil Nadu,TNMSC Free Drug Supply,telmisartan,free
TN,Tamil Nadu,TNMSC Free Drug Supply,metformin,free
TN,Tamil Nadu,TNMSC Free Drug Supply,glimepiride,free
TN,Tamil Nadu,TNMSC Free Drug Supply,insulin,free
TN,Tamil Nadu,TNMSC Free Drug Supply,atorvastatin,free
TN,Tamil Nadu,TNMSC Free Drug Supply,omeprazole,free
TN,Tamil Nadu,TNMSC Free Drug Supply,pantoprazole,free
TN,Tamil Nadu,TNMSC Free Drug Supply,ondansetron,free
TN,Tamil Nadu,TNMSC Free Drug Supply,ors,free
TN,Tamil Nadu,TNMSC Free Drug Supply,iron,free
TN,Tamil Nadu,TNMSC Free Drug Supply,folic,free
TN,Tamil Nadu,TNMSC Free Drug Supply,salbutamol,free
TN,Tamil Nadu,TNMSC Free Drug Supply,prednisolone,free
TN,Tamil Nadu,TNMSC Free Drug Supply,ibuprofen,free
TN,Tamil Nadu,TNMSC Free Drug Supply,diclofenac,free
TN,Tamil Nadu,TNMSC Free Drug Supply,cetirizine,free
TN,Tamil Nadu,TNMSC Free Drug Supply,furosemide,free
TN,Tamil Nadu,TNMSC Free Drug Supply,aspirin,free
TN,Tamil Nadu,TNMSC Free Drug Supply,thiamine,free
TN,Tamil Nadu,TNMSC Free Drug Supply,vitamin,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),paracetamol,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),amoxicillin,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),amoxicillin_clav,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),azithromycin,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),ciprofloxacin,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),metronidazole,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),cefixime,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),ceftriaxone,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),doxycycline,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),amlodipine,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),atenolol,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),losartan,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),telmisartan,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),metformin,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),glimepiride,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),insulin,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),atorvastatin,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),omeprazole,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),pantoprazole,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),ondansetron,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),ors,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),iron,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),folic,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),salbutamol,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),prednisolone,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),ibuprofen,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),diclofenac,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),cetirizine,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),furosemide,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),aspirin,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),thiamine,free
RJ,Rajasthan,Mukhyamantri Nishulk Dawa Yojana (MNDY),vitamin,free
DL,Delhi,Delhi Free Medicine Scheme,paracetamol,free
DL,Delhi,Delhi Free Medicine Scheme,amoxicillin,free
DL,Delhi,Delhi Free Medicine Scheme,amoxicillin_clav,free
DL,Delhi,Delhi Free Medicine Scheme,azithromycin,free
DL,Delhi,Delhi Free Medicine Scheme,ciprofloxacin,free
DL,Delhi,Delhi Free Medicine Scheme,metronidazole,free
DL,Delhi,Delhi Free Medicine Scheme,cefixime,free
DL,Delhi,Delhi Free Medicine Scheme,ceftriaxone,free
DL,Delhi,Delhi Free Medicine Scheme,doxycycline,free
DL,Delhi,Delhi Free Medicine Scheme,amlodipine,free
DL,Delhi,Delhi Free Medicine Scheme,atenolol,free
DL,Delhi,Delhi Free Medicine Scheme,losartan,free
DL,Delhi,Delhi Free Medicine Scheme,telmisartan,free
DL,Delhi,Delhi Free Medicine Scheme,metformin,free
DL,Delhi,Delhi Free Medicine Scheme,glimepiride,free
DL,Delhi,Delhi Free Medicine Scheme,insulin,free
DL,Delhi,Delhi Free Medicine Scheme,atorvastatin,free
DL,Delhi,Delhi Free Medicine Scheme,omeprazole,free
DL,Delhi,Delhi Free Medicine Scheme,pantoprazole,free
