icd10_code,name,department,is_notifiable,reporting_body,report_timeframe
A00,Cholera,Medicine,true,IDSP,24h
A01.0,Typhoid fever,Medicine,true,IDSP,weekly
A03,Shigellosis (bacillary dysentery),Medicine,true,IDSP,weekly
A05,Acute diarrhoeal disease / food poisoning,Medicine,true,IDSP,24h
A09,Diarrhoea,Paediatrics,false,,
A15,Tuberculosis (pulmonary),Medicine,true,Ni-kshay/RNTCP,24h
A19,Miliary tuberculosis,Medicine,true,Ni-kshay/RNTCP,24h
A20,Plague,Medicine,true,IDSP,24h
A22,Anthrax,Medicine,true,IDSP,24h
A27,Leptospirosis,Medicine,true,IDSP,24h
A30,Leprosy,Skin,true,NLEP,weekly
A33,Tetanus neonatorum,Paediatrics,true,IDSP,24h
A35,Tetanus,Medicine,true,IDSP,24h
A36,Diphtheria,Paediatrics,true,IDSP,24h
A37,Whooping cough (pertussis),Paediatrics,true,IDSP,24h
A39,Meningococcal disease,Medicine,true,IDSP,24h
A80,Acute flaccid paralysis / poliomyelitis,Paediatrics,true,IDSP,24h
A82,Rabies,Medicine,true,IDSP,24h
A83.0,Japanese encephalitis,Medicine,true,IDSP,24h
A90,Dengue fever,Medicine,true,IDSP,24h
A91,Dengue haemorrhagic fever,Medicine,true,IDSP,24h
A92.0,Chikungunya,Medicine,true,IDSP,weekly
A95,Yellow fever,Medicine,true,IDSP,24h
B02,Herpes Zoster,Skin,false,,
B05,Measles,Paediatrics,true,IDSP,24h
B06,Rubella,Paediatrics,true,IDSP,weekly
B07,Viral Warts (Verruca),Skin,false,,
B15,Acute hepatitis A,Medicine,true,IDSP,weekly
B16,Acute hepatitis B,Medicine,true,IDSP,weekly
B17.1,Acute hepatitis C,Medicine,true,IDSP,weekly
B19,"Acute viral hepatitis, unspecified",Medicine,true,IDSP,weekly
B35,Dermatophytosis (Tinea),Skin,false,,
B35.1,Onychomycosis (Nail Fungus),Skin,false,,
B50,Plasmodium falciparum malaria,Medicine,true,IDSP/NVBDCP,24h
B51,Plasmodium vivax malaria,Medicine,true,IDSP/NVBDCP,24h
B54,"Malaria, unspecified",Medicine,true,IDSP/NVBDCP,24h
B74,Filariasis,Medicine,true,NVBDCP,weekly
B86,Scabies,Skin,false,,
D17,Lipoma,General Surgery,false,,
D25,Fibroid Uterus,Gyn,false,,
D50,Iron Deficiency Anaemia,General Medicine,false,,
D64,Anaemia,General Medicine,false,,
E03,Hypothyroidism,General Medicine,false,,
E04,Thyroid Goitre,ENT,false,,
E04.1,Thyroid Nodule,General Surgery,false,,
E05,Hyperthyroidism,General Medicine,false,,
E11,Type 2 Diabetes Mellitus,General Medicine,false,,
E28.2,PCOS,Gyn,false,,
E46,Protein Energy Malnutrition,Paediatrics,false,,
E53.8,Vitamin B12 Deficiency,General Medicine,false,,
E55,Vitamin D Deficiency,General Medicine,false,,
E66,Obesity,General Medicine,false,,
E78,Hyperlipidaemia,General Medicine,false,,
F03,Dementia,Psychiatry,false,,
F10,Alcohol Dependence,Psychiatry,false,,
F17,Nicotine Dependence,Psychiatry,false,,
F19,Drug Dependence,Psychiatry,false,,
F20,Schizophrenia,Psychiatry,false,,
F31,Bipolar Disorder,Psychiatry,false,,
F32,Major Depressive Disorder,Psychiatry,false,,
F40.1,Social Anxiety Disorder,Psychiatry,false,,
F41.0,Panic Disorder,Psychiatry,false,,
F41.1,Generalised Anxiety Disorder,Psychiatry,false,,
F42,Obsessive-Compulsive Disorder,Psychiatry,false,,
F43.1,Post-Traumatic Stress,Psychiatry,false,,
F43.2,Adjustment Disorder,Psychiatry,false,,
F44,Dissociative Disorder,Psychiatry,false,,
F45,Somatoform Disorder,Psychiatry,false,,
F50,Eating Disorder,Psychiatry,false,,
F60.3,Borderline Personality,Psychiatry,false,,
F79,Intellectual Disability,Psychiatry,false,,
F88,Developmental Delay,Paediatrics,false,,
F90,ADHD,Paediatrics,false,,
F98.0,Nocturnal Enuresis,Paediatrics,false,,
G40,Epilepsy,General Medicine,false,,
G43,Migraine,General Medicine,false,,
G47.0,Insomnia,Psychiatry,false,,
G56.0,Carpal Tunnel Syndrome,Orthopedics,false,,
G62,Peripheral Neuropathy,General Medicine,false,,
H00,Hordeolum (Stye) / Chalazion,Ophthalmology,false,,
H01.0,Blepharitis,Ophthalmology,false,,
H02,Eyelid Disorder,Ophthalmology,false,,
H04.1,Dry Eye Syndrome,Ophthalmology,false,,
H04.3,Dacryocystitis,Ophthalmology,false,,
H10,Conjunctivitis,Ophthalmology,false,,
H11.0,Pterygium,Ophthalmology,false,,
H16.0,Corneal Ulcer,Ophthalmology,false,,
H20,Uveitis,Ophthalmology,false,,
H26,Cataract,Ophthalmology,false,,
H33,Retinal Detachment,Ophthalmology,false,,
H35.3,Age-Related Macular Degeneration,Ophthalmology,false,,
H36.0,Diabetic Retinopathy,Ophthalmology,false,,
H40,Glaucoma,Ophthalmology,false,,
H43.9,Vitreous Floaters,Ophthalmology,false,,
H50,Squint (Strabismus),Ophthalmology,false,,
H52,Refractive Error,Ophthalmology,false,,
H53.0,Amblyopia,Ophthalmology,false,,
H60.9,Otitis Externa,ENT,false,,
H61.2,Impacted Cerumen,ENT,false,,
H66,Otitis Media,Paediatrics,false,,
H66.9,Acute Otitis Media,ENT,false,,
H69,Eustachian Tube Dysfunction,ENT,false,,
H81.1,BPPV (Benign Positional Vertigo),ENT,false,,
H90.3,Sensorineural Hearing Loss,ENT,false,,
